tmdb_id,title,release_date,revenue,popularity,vote_average,genre_ids,is_lgbt
35019,Nanny McPhee and the Big Bang,2010-03-26,93251121,4.6535,6.308,"[35, 14, 10751]",0
32823,Get Him to the Greek,2010-06-03,90029656,3.4413,5.981,"[12, 35, 10402]",0
42297,Burlesque,2010-11-23,89500000,2.7159,7.208,"[18, 10749]",0
35690,The Last Song,2010-03-31,89137047,2.7147,7.23,"[18, 10751, 10749]",0
38778,Dinner for Schmucks,2010-07-30,86387857,2.894,5.724,[35],0
38579,Marmaduke,2010-06-03,83761844,7.3368,5.2,"[10751, 35]",0
43593,Piranha 3D,2010-08-20,83188165,4.2223,5.4,"[35, 27]",0
37056,Letters to Juliet,2010-05-13,82148538,4.4746,7.001,"[35, 18, 10749]",0
12201,Edge of Darkness,2010-01-28,81126522,5.0794,6.394,"[80, 18, 9648, 53]",0
40264,Vampires Suck,2010-08-18,80547866,5.5617,4.394,"[35, 14]",0
22907,Takers,2010-08-26,80205382,3.9533,6.225,"[28, 80, 18, 53]",0
34806,The Back-Up Plan,2010-04-23,77477008,2.001,6.127,"[35, 10749]",0
38234,Undisputed III: Redemption,2010-04-17,76500000,6.651,7.553,"[28, 53, 80, 18]",0
33217,Diary of a Wimpy Kid,2010-03-19,76196538,5.7583,6.259,"[35, 10751]",0
56540,If You Are the One 2,2010-12-22,76100000,0.6899,5.931,"[35, 10749, 14]",0
37735,Easy A,2010-09-16,75026327,6.6696,6.809,[35],0
65841,Bayside Shakedown 3: Set the Guys Loose,2010-07-03,72500000,0.7084,5.2,"[28, 18, 35]",0
49953,A Turtle's Tale: Sammy's Adventures,2010-08-04,71594792,3.2449,6.052,"[16, 10751]",0
50087,Pokémon: Zoroark - Master of Illusions,2010-07-10,71143529,2.3669,6.706,"[10751, 16, 12, 14]",0
38358,The Last Exorcism,2010-08-27,69400000,1.6448,5.701,"[27, 53, 9648]",0
22894,Legion,2010-01-21,67918658,9.8669,5.895,"[28, 14, 27]",0
